Hva er din alder?,I hvilket fylke ligger jobben din?,Hva beskriver best din arbeidssituasjon?,Er du ansatt i det offentlige eller private næringsliv?,"Hvor mange års relevant, formell utdannelse har du?",Hvor mange års relevant arbeidserfaring har du?,Hva jobber du mest med?,Har du en av disse begrepene i stillingstittelen din? ,"Hva er din grunnlønn? (årslønn før skatt, uten eventuelle bonuser eller overtidsbetaling)","Er du organisert? (Altså medlem av en forening som Tekna, El&it, Nito osv)",Pleier du å få mer utbetalt enn grunnlønn på grunn av overtidsbetaling?,Har du en bonusordning hos din nåværende arbeidsgiver?,"Sist du gikk opp i lønn, hvordan skjedde det? (altså en helt ny lønn eller en lønnsjustering utover indeksregulering, sentrale oppgjør osv.)",Alt i alt - er du fornøyd med din egen lønn?,"Om du skal bytte jobb, hvilke goder kan være like viktig som lønn? ","""Skal jeg bytte jobb, skal jeg også opp i lønn.""","""Hvor mye man tjener avhenger av hvor flink man er i jobben sin.""","""Hvor mye man tjener avhenger av hvilken tittel man har.""","""Hvor mye man tjener avhenger av hvor gammel man er."" (Altså uavhengig av erfaring og fartstid i selskapet)","""Utviklere er blant de som tjener mest på arbeidsplassen min.""","""Jeg tror jeg hadde tjent mer nå om det ikke hadde vært for korona."" (for eksempel på grunn av manglende lønnsjustering, mindre aktuelt å bytte jobb, osv)","""Jeg synes man bør tjene mer om man jobber hjemmefra.""","""Jeg synes man bør tjene mindre om man jobber hjemmefra.""","""Jeg tror kjønn i seg selv spiller inn i hvor mye man tjener.""","""Om noen spør, synes jeg det er greit å fortelle kolleger hva jeg tjener.""","""Jeg synes det er greit å spørre kolleger hva de tjener.""","""Vi burde ha mer åpenhet på en arbeidsplass om hva vi tjener."""
20-24 år,Vestland,konsulent,offentlig,0,0,annet,nei,"425 000,00 kr",Nei,Nei,Nei,Jeg fikk ny arbeidsgiver,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), gode ordninger for gratis teknisk utstyr",enig,vet ikke/ikke aktuelt,enig,enig,enig,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,enig,enig,uenig,enig
20-24 år,Oslo,konsulent,privat,1,1,annet,"""...junior...""","550 000,00 kr",Nei,Nei,Ja,vet ikke/ikke aktuelt,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), gode ordninger for gratis teknisk utstyr",enig,enig,uenig,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,vet ikke/ikke aktuelt,uenig,uenig,enig
20-24 år,annet,konsulent,ikke oppgitt,3,3,app,nei,"348 000,00 kr",Nei,Nei,Ja,vet ikke/ikke aktuelt,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), gode ordninger for gratis teknisk utstyr",vet ikke/ikke aktuelt,uenig,vet ikke/ikke aktuelt,enig,uenig,enig,enig,uenig,uenig,enig,enig,enig
20-24 år,Oslo,in-house,offentlig,3,1,app,"""...overingeniør...""","600 500,00 kr",Nei,Nei,Nei,Sjefen tilbydde meg mer lønn,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, faglige aktiviteter (konferanser, kurs, fagdager osv.)",enig,uenig,vet ikke/ikke aktuelt,enig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,uenig,uenig,enig,vet ikke/ikke aktuelt,enig
20-24 år,Oslo,in-house,privat,1,1,app,nei,"550 000,00 kr",Nei,Nei,Nei,Jeg fikk ny arbeidsgiver,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, firmahytter/ferieboliger, firmabil, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,enig,enig,enig,enig,enig,uenig,uenig,vet ikke/ikke aktuelt,uenig,uenig,vet ikke/ikke aktuelt
20-24 år,Oslo,konsulent,ikke oppgitt,ikke oppgitt,1,app,annet,"571 500,00 kr",Ja,Ja,Nei,Sjefen tilbydde meg mer lønn,Ja,"fleksible arbeidstider, sosiale aktiviteter (turer, fester, arrangementer osv.)",enig,enig,enig,uenig,uenig,uenig,uenig,uenig,uenig,enig,enig,enig
20-24 år,annet,in-house,privat,4,0,app,nei,"525 300,00 kr",Ja,Nei,Nei,vet ikke/ikke aktuelt,Ja,"fleksible arbeidstider, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.)",enig,enig,enig,uenig,uenig,uenig,uenig,uenig,uenig,enig,uenig,uenig
20-24 år,annet,konsulent,offentlig,3,1,automatisering,"""...junior...""","220 000,00 kr",Nei,Nei,Nei,Jeg fikk ny stilling hos samme arbeidsgiver,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, gode ordninger for gratis teknisk utstyr",enig,vet ikke/ikke aktuelt,enig,enig,uenig,vet ikke/ikke aktuelt,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,enig,enig,enig
20-24 år,Agder,in-house,offentlig,4,0,backend,nei,"500 000,00 kr",Ja,Nei,Nei,vet ikke/ikke aktuelt,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",vet ikke/ikke aktuelt,enig,uenig,uenig,vet ikke/ikke aktuelt,uenig,uenig,uenig,enig,enig,enig,enig
20-24 år,Viken,in-house,privat,0,4,backend,"""...lead...""","780 000,00 kr",Nei,Ja,Nei,Jeg fikk ny arbeidsgiver,Nei,"mulighet å jobbe hjemmefra/remote, sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), Gode videre karrieremuligheter/veier",enig,enig,uenig,uenig,uenig,enig,uenig,uenig,vet ikke/ikke aktuelt,uenig,uenig,enig
20-24 år,Trøndelag,konsulent,privat,3,0,backend,nei,"525 000,00 kr",Ja,Nei,Ja,Jeg fikk ny arbeidsgiver,Ja,ingen spesielle,enig,enig,uenig,uenig,enig,uenig,enig,uenig,enig,enig,uenig,enig
20-24 år,Oslo,in-house,privat,5,1,backend,nei,"650 000,00 kr",Nei,Nei,Nei,Jeg fikk ny stilling hos samme arbeidsgiver,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, gode ordninger for gratis teknisk utstyr, Gode læringsmuligheter. Feks smarte kolleger og interessante problemer.",enig,enig,enig,enig,vet ikke/ikke aktuelt,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,enig,enig,enig
20-24 år,Viken,konsulent,ikke oppgitt,ikke oppgitt,1,backend,nei,"500 000,00 kr",Nei,Ja,Nei,vet ikke/ikke aktuelt,Nei,"mer fritid (for eksempel flere feriedager), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,enig,enig,uenig,uenig,uenig,uenig,uenig,uenig,enig,enig,enig
20-24 år,annet,in-house,ikke oppgitt,ikke oppgitt,1,backend,nei,"510 000,00 kr",Ja,Ja,Nei,vet ikke/ikke aktuelt,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,uenig,enig,uenig,enig,uenig,uenig,uenig,uenig,enig,enig,enig
20-24 år,annet,in-house,ikke oppgitt,ikke oppgitt,0,backend,nei,"950 000,00 kr",Ja,Nei,Ja,vet ikke/ikke aktuelt,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr, Flinke folk",uenig,uenig,vet ikke/ikke aktuelt,enig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,uenig,uenig,vet ikke/ikke aktuelt
20-24 år,Oslo,in-house,ikke oppgitt,ikke oppgitt,1,backend,"""...junior...""","555 600,00 kr",Nei,Ja,Nei,annet,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, firmabil, mer fritid (for eksempel flere feriedager), faglige aktiviteter (konferanser, kurs, fagdager osv.)",enig,enig,uenig,uenig,enig,uenig,enig,uenig,uenig,enig,uenig,enig
20-24 år,Oslo,konsulent,ikke oppgitt,ikke oppgitt,3,backend,nei,"650 000,00 kr",Ja,Nei,Nei,Fast lønnsjustering,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,vet ikke/ikke aktuelt,uenig,uenig,enig,uenig,vet ikke/ikke aktuelt,uenig,enig,enig,vet ikke/ikke aktuelt,enig
20-24 år,Oslo,in-house,privat,0,2,backend,"""...junior...""","521 000,00 kr",Nei,Ja,Nei,Jeg ba sjefen om mer lønn,Nei,ingen spesielle,enig,uenig,enig,vet ikke/ikke aktuelt,uenig,enig,enig,uenig,vet ikke/ikke aktuelt,enig,uenig,enig
20-24 år,Viken,in-house,ikke oppgitt,ikke oppgitt,1,backend,nei,"525 000,00 kr",Nei,Nei,Ja,Jeg fikk ny arbeidsgiver,Nei,"fleksible arbeidstider, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.)",enig,enig,vet ikke/ikke aktuelt,uenig,uenig,uenig,uenig,uenig,uenig,uenig,uenig,enig
20-24 år,Oslo,konsulent,privat,3,2,backend,nei,"600 000,00 kr",Nei,Nei,Nei,Jeg fikk ny arbeidsgiver,Ja,"fleksible arbeidstider, sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.)",enig,uenig,uenig,enig,enig,uenig,uenig,uenig,uenig,enig,enig,enig
20-24 år,Oslo,in-house,ikke oppgitt,ikke oppgitt,2,backend,"""...senior...""","640 000,00 kr",Nei,Ja,Nei,Jeg trua med å si opp,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, gode ordninger for gratis teknisk utstyr",enig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,uenig,uenig,vet ikke/ikke aktuelt,uenig,vet ikke/ikke aktuelt,enig,enig,enig
20-24 år,Oslo,in-house,privat,5,2,backend,nei,"699 000,00 kr",Ja,Nei,Ja,Sjefen tilbydde meg mer lønn,Ja,"mer fritid (for eksempel flere feriedager), gode ordninger for gratis teknisk utstyr",enig,enig,vet ikke/ikke aktuelt,enig,uenig,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,enig,uenig,vet ikke/ikke aktuelt
20-24 år,Oslo,konsulent,ikke oppgitt,ikke oppgitt,0,backend,"""...junior...""","550 000,00 kr",Ja,Nei,Ja,vet ikke/ikke aktuelt,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",vet ikke/ikke aktuelt,enig,enig,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,enig,enig,enig
20-24 år,Oslo,in-house,privat,5,1,data science,"""...junior...""","580 000,00 kr",Nei,Nei,Ja,Jeg fikk ny arbeidsgiver,Ja,"mulighet å jobbe hjemmefra/remote, faglige aktiviteter (konferanser, kurs, fagdager osv.)",uenig,enig,vet ikke/ikke aktuelt,uenig,uenig,uenig,enig,uenig,uenig,enig,enig,enig
20-24 år,Oslo,in-house,privat,5,0,data science,nei,"585 000,00 kr",Ja,Nei,Nei,Sjefen tilbydde meg mer lønn,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager)",enig,vet ikke/ikke aktuelt,enig,enig,vet ikke/ikke aktuelt,uenig,uenig,uenig,enig,enig,uenig,enig
20-24 år,Oslo,in-house,privat,0,4,devops,nei,"420 000,00 kr",Nei,Ja,Nei,Sjefen tilbydde meg mer lønn,Nei,"mulighet å jobbe hjemmefra/remote, ingen spesielle",vet ikke/ikke aktuelt,enig,enig,uenig,vet ikke/ikke aktuelt,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,uenig,uenig,vet ikke/ikke aktuelt
20-24 år,Vestfold og Telemark,in-house,privat,2,1,devops,nei,"487 500,00 kr",Nei,Nei,Nei,Sjefen tilbydde meg mer lønn,Ja,"fleksible arbeidstider, mer fritid (for eksempel flere feriedager), Læringsmuligheter",enig,enig,enig,uenig,enig,enig,uenig,uenig,enig,enig,vet ikke/ikke aktuelt,enig
20-24 år,Vestland,konsulent,privat,1,3,devops,nei,"554 000,00 kr",Ja,Ja,Ja,Jeg fikk ny arbeidsgiver,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,uenig,enig,uenig,enig,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,enig,enig,enig,enig
20-24 år,Oslo,in-house,privat,3,0,embedded/IOT/maskinvare,"""...junior...""","500 000,00 kr",Ja,Nei,Nei,vet ikke/ikke aktuelt,Ja,"fleksible arbeidstider, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.), gode ordninger for gratis teknisk utstyr",enig,enig,enig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,enig,enig,enig
20-24 år,Rogaland,in-house,privat,5,0,embedded/IOT/maskinvare,nei,"580 000,00 kr",Ja,Ja,Ja,Jeg ba sjefen om mer lønn,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, gode ordninger for gratis teknisk utstyr, mulighet for å jobbe mer enn 37.5 timer i uken",enig,uenig,uenig,uenig,enig,uenig,vet ikke/ikke aktuelt,uenig,uenig,enig,enig,enig
20-24 år,Trøndelag,in-house,privat,2,3,frontend,nei,"360 000,00 kr",Nei,Nei,Nei,annet,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote",enig,enig,uenig,uenig,enig,vet ikke/ikke aktuelt,enig,uenig,uenig,enig,enig,enig
20-24 år,Rogaland,konsulent,ikke oppgitt,ikke oppgitt,3,frontend,nei,"450 000,00 kr",Nei,Nei,Ja,Sjefen tilbydde meg mer lønn,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, sosiale aktiviteter (turer, fester, arrangementer osv.), gode ordninger for gratis teknisk utstyr",enig,enig,uenig,uenig,enig,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,enig,uenig,enig
20-24 år,annet,in-house,privat,3,1,frontend,nei,"550 200,00 kr",Nei,Ja,Ja,Jeg fikk ny arbeidsgiver,Ja,"sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,uenig,uenig,uenig,enig,enig,uenig,uenig,uenig,enig,uenig,enig
20-24 år,Rogaland,konsulent,privat,3,0,frontend,nei,"510 000,00 kr",Ja,Ja,Ja,vet ikke/ikke aktuelt,Ja,"firmahytter/ferieboliger, firmabil, sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,enig,vet ikke/ikke aktuelt,enig,vet ikke/ikke aktuelt,uenig,uenig,uenig,uenig,enig,enig,enig
20-24 år,Rogaland,in-house,privat,2,2,frontend,"""...junior...""","430 000,00 kr",Nei,Nei,Nei,Jeg ba sjefen om mer lønn,Nei,"fleksible arbeidstider, sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,enig,enig,enig,enig,enig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,enig,uenig,uenig
20-24 år,annet,in-house,ikke oppgitt,ikke oppgitt,5,frontend,nei,"450 000,00 kr",Ja,Nei,Nei,Jeg ba sjefen om mer lønn,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",vet ikke/ikke aktuelt,enig,enig,enig,uenig,uenig,uenig,uenig,uenig,enig,uenig,enig
20-24 år,annet,in-house,ikke oppgitt,ikke oppgitt,5,frontend,nei,"450 000,00 kr",Ja,Nei,Nei,Jeg ba sjefen om mer lønn,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",vet ikke/ikke aktuelt,enig,enig,enig,uenig,uenig,uenig,uenig,uenig,enig,uenig,enig
20-24 år,annet,konsulent,ikke oppgitt,3,2,frontend,nei,"530 000,00 kr",Ja,Nei,Ja,Jeg fikk ny arbeidsgiver,Ja,"fleksible arbeidstider, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.)",enig,uenig,vet ikke/ikke aktuelt,enig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,enig,uenig,vet ikke/ikke aktuelt,enig,vet ikke/ikke aktuelt,enig
20-24 år,Oslo,in-house,ikke oppgitt,ikke oppgitt,2,frontend,nei,"472 000,00 kr",Ja,Nei,Nei,vet ikke/ikke aktuelt,Nei,"fleksible arbeidstider, firmahytter/ferieboliger, sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.)",vet ikke/ikke aktuelt,enig,uenig,enig,uenig,enig,enig,uenig,uenig,enig,enig,enig
20-24 år,Trøndelag,in-house,privat,3,1,frontend,nei,"510 000,00 kr",Nei,Nei,Nei,vet ikke/ikke aktuelt,Nei,"fleksible arbeidstider, mer fritid (for eksempel flere feriedager)",enig,enig,uenig,uenig,uenig,enig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,enig,uenig,enig
20-24 år,Vestland,in-house,ikke oppgitt,ikke oppgitt,2,frontend,"""...junior...""","525 000,00 kr",Nei,Nei,Nei,Jeg ba sjefen om mer lønn,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.)",enig,uenig,enig,uenig,enig,enig,uenig,uenig,vet ikke/ikke aktuelt,enig,enig,enig
20-24 år,Oslo,in-house,privat,3,2,frontend,nei,"530 000,00 kr",Nei,Ja,Ja,Jeg ba sjefen om mer lønn,Nei,"fleksible arbeidstider, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.)",enig,enig,uenig,uenig,uenig,uenig,uenig,uenig,uenig,enig,uenig,enig
20-24 år,Oslo,konsulent,privat,3,2,frontend,nei,"585 000,00 kr",Ja,Ja,Ja,Jeg ba sjefen om mer lønn,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,uenig,enig,enig,enig,uenig,uenig,uenig,uenig,enig,enig,enig
20-24 år,Oslo,konsulent,privat,3,2,frontend,nei,"585 000,00 kr",Ja,Ja,Ja,Jeg ba sjefen om mer lønn,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,uenig,enig,enig,enig,uenig,uenig,uenig,uenig,enig,enig,enig
20-24 år,Oslo,konsulent,privat,3,2,frontend,nei,"585 000,00 kr",Ja,Ja,Ja,Jeg ba sjefen om mer lønn,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,uenig,enig,enig,enig,uenig,uenig,uenig,uenig,enig,enig,enig
20-24 år,Oslo,in-house,privat,5,3,frontend,nei,"600 000,00 kr",Ja,Nei,Nei,Jeg ba sjefen om mer lønn,Ja,"mulighet å jobbe hjemmefra/remote, Tid til å jobbe med egne prosjekter, samt finansiering av disse",enig,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,uenig,uenig,uenig,enig,enig,enig
20-24 år,Vestland,in-house,offentlig,0,3,frontend,nei,"517 000,00 kr",Ja,Ja,Nei,Jeg fikk ny arbeidsgiver,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.), gode ordninger for gratis teknisk utstyr",enig,uenig,enig,enig,uenig,uenig,uenig,uenig,vet ikke/ikke aktuelt,enig,uenig,enig
20-24 år,Oslo,konsulent,privat,5,2,frontend,nei,"600 000,00 kr",Ja,Nei,Ja,Jeg fikk ny arbeidsgiver,Ja,"fleksible arbeidstider, mer fritid (for eksempel flere feriedager)",enig,uenig,uenig,enig,enig,uenig,uenig,uenig,uenig,enig,enig,enig
20-24 år,Vestland,in-house,ikke oppgitt,0,7,frontend,nei,"530 000,00 kr",Nei,Nei,Nei,Jeg trua med å si opp,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), gode ordninger for gratis teknisk utstyr",enig,enig,uenig,uenig,vet ikke/ikke aktuelt,enig,vet ikke/ikke aktuelt,uenig,uenig,enig,enig,enig
20-24 år,Vestland,in-house,privat,3,3,frontend,nei,"550 000,00 kr",Nei,Nei,Ja,Sjefen tilbydde meg mer lønn,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.)",enig,enig,enig,enig,vet ikke/ikke aktuelt,uenig,uenig,uenig,uenig,uenig,uenig,enig
20-24 år,Oslo,konsulent,ikke oppgitt,ikke oppgitt,1,frontend,"""...junior...""","500 000,00 kr",Nei,Nei,Nei,vet ikke/ikke aktuelt,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote",enig,uenig,enig,enig,enig,vet ikke/ikke aktuelt,enig,uenig,uenig,enig,vet ikke/ikke aktuelt,enig
20-24 år,Oslo,konsulent,ikke oppgitt,ikke oppgitt,1,frontend,nei,"570 000,00 kr",Ja,Ja,Nei,vet ikke/ikke aktuelt,Ja,"fleksible arbeidstider, sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.)",uenig,enig,enig,enig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,enig,uenig,uenig,enig,uenig,enig
20-24 år,Trøndelag,in-house,privat,2,0,fullstack,"""...junior...""","350 000,00 kr",Ja,Nei,Ja,Jeg fikk ny arbeidsgiver,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.)",enig,enig,enig,vet ikke/ikke aktuelt,enig,uenig,uenig,uenig,uenig,enig,enig,enig
20-24 år,Oslo,in-house,ikke oppgitt,ikke oppgitt,3,fullstack,"""...lead...""","430 000,00 kr",Nei,Ja,Nei,Jeg fikk ny stilling hos samme arbeidsgiver,Ja,"fleksible arbeidstider, sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.)",enig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,enig,uenig,uenig,uenig,uenig,enig,enig,uenig,enig
20-24 år,Oslo,in-house,privat,4,4,fullstack,nei,"1 462 000,00 kr",Ja,Ja,Ja,Sjefen tilbydde meg mer lønn,Ja,ingen spesielle,enig,enig,vet ikke/ikke aktuelt,uenig,enig,uenig,enig,uenig,uenig,enig,enig,enig
20-24 år,Møre og Romsdal,in-house,privat,0,2,fullstack,"""...leder...""","575 000,00 kr",Nei,Nei,Nei,Jeg fikk ny stilling hos samme arbeidsgiver,Ja,ingen spesielle,uenig,enig,enig,enig,uenig,uenig,uenig,vet ikke/ikke aktuelt,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt
20-24 år,Vestfold og Telemark,konsulent,ikke oppgitt,ikke oppgitt,1,fullstack,nei,"400 000,00 kr",Ja,Nei,Nei,Jeg fikk ny stilling hos samme arbeidsgiver,Nei,"sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.)",enig,enig,enig,enig,uenig,uenig,enig,uenig,uenig,enig,enig,enig
20-24 år,Møre og Romsdal,in-house,privat,0,4,fullstack,nei,"520 000,00 kr",Nei,Nei,Nei,Jeg fikk ny stilling hos samme arbeidsgiver,Ja,"fleksible arbeidstider, mer fritid (for eksempel flere feriedager), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,uenig,enig,enig,enig,uenig,uenig,uenig,uenig,enig,uenig,vet ikke/ikke aktuelt
20-24 år,Vestland,in-house,ikke oppgitt,ikke oppgitt,2,fullstack,nei,"620 000,00 kr",Ja,Nei,Nei,Jeg ba sjefen om mer lønn,Nei,fleksible arbeidstider,enig,enig,uenig,uenig,enig,uenig,uenig,vet ikke/ikke aktuelt,uenig,enig,vet ikke/ikke aktuelt,enig
20-24 år,Vestland,konsulent,ikke oppgitt,ikke oppgitt,3,fullstack,"""...senior...""","1 150 000,00 kr",Ja,Ja,Nei,Jeg fikk ny arbeidsgiver,Ja,"fleksible arbeidstider, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.)",enig,enig,enig,uenig,enig,uenig,uenig,uenig,uenig,enig,enig,enig
20-24 år,Oslo,konsulent,ikke oppgitt,ikke oppgitt,4,fullstack,nei,"570 000,00 kr",Ja,Ja,Ja,Jeg fikk ny arbeidsgiver,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, firmahytter/ferieboliger, sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.)",enig,enig,enig,enig,uenig,uenig,uenig,uenig,uenig,enig,enig,enig
20-24 år,annet,konsulent,privat,0,3,fullstack,"""...junior...""","290 000,00 kr",Nei,Nei,Ja,Sjefen tilbydde meg mer lønn,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,enig,enig,enig,uenig,vet ikke/ikke aktuelt,uenig,uenig,uenig,enig,uenig,enig
20-24 år,Vestland,in-house,privat,3,0,fullstack,nei,"501 000,00 kr",Nei,Nei,Nei,vet ikke/ikke aktuelt,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",uenig,uenig,uenig,enig,enig,uenig,uenig,uenig,uenig,enig,enig,enig
