Hva er din alder?,I hvilket fylke ligger jobben din?,Hva beskriver best din arbeidssituasjon?,Er du ansatt i det offentlige eller private næringsliv?,"Hvor mange års relevant, formell utdannelse har du?",Hvor mange års relevant arbeidserfaring har du?,Hva jobber du mest med?,Har du en av disse begrepene i stillingstittelen din? ,"Hva er din grunnlønn? (årslønn før skatt, uten eventuelle bonuser eller overtidsbetaling)","Er du organisert? (Altså medlem av en forening som Tekna, El&it, Nito osv)",Pleier du å få mer utbetalt enn grunnlønn på grunn av overtidsbetaling?,Har du en bonusordning hos din nåværende arbeidsgiver?,"Sist du gikk opp i lønn, hvordan skjedde det? (altså en helt ny lønn eller en lønnsjustering utover indeksregulering, sentrale oppgjør osv.)",Alt i alt - er du fornøyd med din egen lønn?,"Om du skal bytte jobb, hvilke goder kan være like viktig som lønn? ","""Skal jeg bytte jobb, skal jeg også opp i lønn.""","""Hvor mye man tjener avhenger av hvor flink man er i jobben sin.""","""Hvor mye man tjener avhenger av hvilken tittel man har.""","""Hvor mye man tjener avhenger av hvor gammel man er."" (Altså uavhengig av erfaring og fartstid i selskapet)","""Utviklere er blant de som tjener mest på arbeidsplassen min.""","""Jeg tror jeg hadde tjent mer nå om det ikke hadde vært for korona."" (for eksempel på grunn av manglende lønnsjustering, mindre aktuelt å bytte jobb, osv)","""Jeg synes man bør tjene mer om man jobber hjemmefra.""","""Jeg synes man bør tjene mindre om man jobber hjemmefra.""","""Jeg tror kjønn i seg selv spiller inn i hvor mye man tjener.""","""Om noen spør, synes jeg det er greit å fortelle kolleger hva jeg tjener.""","""Jeg synes det er greit å spørre kolleger hva de tjener.""","""Vi burde ha mer åpenhet på en arbeidsplass om hva vi tjener."""
30-34 år,Vestland,in-house,ikke oppgitt,3,4,fullstack,"""...senior...""","650 000,00 kr",Ja,Nei,Nei,Sjefen tilbydde meg mer lønn,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,enig,enig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,uenig,uenig,enig,enig,enig,enig
30-34 år,Oslo,konsulent,ikke oppgitt,ikke oppgitt,3,fullstack,"""...senior...""","700 000,00 kr",Ja,Nei,Nei,Sjefen tilbydde meg mer lønn,Ja,ingen spesielle,enig,enig,uenig,uenig,enig,enig,uenig,uenig,enig,enig,uenig,enig
30-34 år,Oslo,konsulent,privat,5,6,fullstack,"""...senior...""","770 000,00 kr",Ja,Ja,Ja,Sjefen tilbydde meg mer lønn,Ja,"fleksible arbeidstider, gode ordninger for gratis teknisk utstyr",enig,uenig,uenig,uenig,uenig,vet ikke/ikke aktuelt,uenig,uenig,vet ikke/ikke aktuelt,enig,enig,enig
30-34 år,Oslo,in-house,privat,6,6,fullstack,"""...senior...""","785 000,00 kr",Ja,Ja,Ja,Sjefen tilbydde meg mer lønn,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager)",vet ikke/ikke aktuelt,uenig,enig,enig,enig,vet ikke/ikke aktuelt,uenig,uenig,uenig,enig,vet ikke/ikke aktuelt,enig
30-34 år,Oslo,konsulent,ikke oppgitt,ikke oppgitt,6,fullstack,"""...senior...""","954 516,00 kr",Ja,Nei,Nei,Sjefen tilbydde meg mer lønn,Ja,"mer fritid (for eksempel flere feriedager), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",uenig,uenig,uenig,uenig,enig,enig,vet ikke/ikke aktuelt,uenig,enig,enig,vet ikke/ikke aktuelt,enig
30-34 år,Rogaland,in-house,privat,3,5,fullstack,nei,"550 000,00 kr",Nei,Ja,Ja,Sjefen tilbydde meg mer lønn,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.)",enig,uenig,enig,uenig,enig,enig,uenig,uenig,uenig,enig,enig,enig
30-34 år,Oslo,in-house,ikke oppgitt,ikke oppgitt,4,fullstack,nei,"600 000,00 kr",Ja,Nei,Nei,Sjefen tilbydde meg mer lønn,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,enig,uenig,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,enig,uenig,vet ikke/ikke aktuelt,enig,uenig,enig
30-34 år,Oslo,in-house,ikke oppgitt,ikke oppgitt,1,fullstack,nei,"610 000,00 kr",Nei,Nei,Nei,Sjefen tilbydde meg mer lønn,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager)",enig,uenig,uenig,enig,enig,uenig,uenig,uenig,vet ikke/ikke aktuelt,enig,vet ikke/ikke aktuelt,enig
30-34 år,Oslo,konsulent,ikke oppgitt,ikke oppgitt,2,fullstack,nei,"625 000,00 kr",Nei,Ja,Nei,Sjefen tilbydde meg mer lønn,Nei,"sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,uenig,enig,uenig,enig,uenig,enig,uenig,enig,enig,enig,enig
30-34 år,Oslo,in-house,privat,5,5,fullstack,nei,"700 000,00 kr",Ja,Nei,Ja,Sjefen tilbydde meg mer lønn,Ja,mer fritid (for eksempel flere feriedager),enig,vet ikke/ikke aktuelt,enig,enig,enig,vet ikke/ikke aktuelt,uenig,uenig,uenig,enig,enig,enig
